FECHA CREACIÓN;No. REQUERIMIENTO;DESCRIPCION REQUERIMIENTO ;APLICACIÓN;MÓDULO;GERENCIA;AREA;USUARIO;EMPRESA CONSULTORA;CONSULTOR;ESTADO REQUERIMIENTOS;FECHA ASIGNACIÓN;FECHA ESTIMADA DE ENTREGA;FECHA DE CIERRE;OBSERVACION
12/11/2014;6000000476;NO APARECE LA VISUALICACION DEL PEDIDO;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
12/11/2014;6000000477;VLO60;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;Tambien fue trabajado por Miguel Escobar
12/11/2014;6000000478;ME2L;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
12/11/2014;6000000479;MB1A;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
12/11/2014;6000000480;MB1C;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
12/11/2014;6000000481;MB1C;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
12/11/2014;6000000482;F-02;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
12/11/2014;6000000483;FB50;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
14/11/2014;6000000484;SIN AUTORIZACION EN ELEMENTO TRANSACCION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
14/11/2014;6000000485;SIN AUTORIZACION EN ELEMENTO TRANSACCION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
14/11/2014;6000000486;NO TIENE AUTORIZACIÓN PARA VISUALIZAR PA;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
14/11/2014;6000000487;NO TIENE AUTORIZACIÓN PARA SEGMENTO COPI;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
14/11/2014;6000000488;NO REALIZA EL PROCESO;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
14/11/2014;6000000489;NO HAY INFORMACION PARA REALIZAR TRANSAC;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
14/11/2014;6000000490;CORREGIR POSICION DE CUENTA MAYOR;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
15/11/2014;6000000491;NO CONLUYE LA EJECUCIÓN DEL REPORTE;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
15/11/2014;6000000492;NO DEJA EJECTARLA;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
18/11/2014;6000000495;NO TENGO AUTORIZACION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
18/11/2014;6000000496;F-02 IMPUTAC CTA MAYOR CON ORDEN INTERNA;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
18/11/2014;6000000497;"CAMPO P.BALANCE ""CENTRO DE BENEFICIO"" NO";SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
20/11/2014;6000000498;NO TENGO AUTORIZACION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
21/11/2014;6000000499;ERROR ZMM_CARGA_PRICAT;SAP;FI-BL-IS;GENERAL;TRAZABILIDAD;;;;CERRADO;;;;
24/11/2014;6000000500;ERROR EN LIQUIDACION DE VACACIONES;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
03/12/2014;6000000505;FALTA DE AUTORIZACIÓN;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
03/12/2014;6000000506;FALTA DE AUTORIZACIÓN;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
05/12/2014;6000000507;NO PERMITE CAMBIO EN EL TEXTO DE LA CUEN;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
06/12/2014;6000000508;ERROR AL CONTABILIZAR Z05;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
06/12/2014;6000000509;ERROR CONTABILIZACION MOV.105;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
09/12/2014;6000000510;ERROR AL ANULAR UN DOCUMENTO;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
09/12/2014;6000000511;ERROR EN CEBE AL REGISTRAR UNA COMPRA AA;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
09/12/2014;6000000512;FALTA AUTORIZACION PARA MODIFICAR TEXTOS;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
09/12/2014;6000000513;NO DEJA CONTABILIZAR FB65;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
09/12/2014;6000000514;NO SE PUEDE ANULAR COMPENSACIONES;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
09/12/2014;6000000515;ERROR AL GENERAR EL REPORTE DE INVENTARI;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
09/12/2014;6000000516;NO TENGO AUTORIZACION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
09/12/2014;6000000517;AL EJECUTAR LA TRANSC ARROJA MENS ERROR;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
09/12/2014;6000000518;ERROR POR FALTA DE CENTRO DE BENEFICIOS;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
09/12/2014;6000000519;"""CENTRO DE BENEFICIO"" NO COMPLETADO";SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
09/12/2014;6000000520;ERROR EL CENTRO DE BENEFICIO NO EXISTE;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
09/12/2014;6000000521;NO TEGO AUTORIZACIÓN PARA SEGMENTO;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
09/12/2014;6000000522;EL CAMPO TID NO SE LLENO;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
09/12/2014;6000000523;ERROR EN CEBE AL REGISTRAR UN TRASLAD AA;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
09/12/2014;6000000524;DOC EXCEL TENER EN CUENTA LINE AMARILLA;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
09/12/2014;6000000525;LA TRANSACCION NO GENERA INFORMACION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
10/12/2014;6000000526;SIN AUTORIZACION TRANSACCION KS01;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
10/12/2014;6000000527;SIN AUTORIZACION F.10;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
10/12/2014;6000000528;SIN AUTORIZACION F-02 CONTABILIZAR CECO;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
10/12/2014;6000000529;NO SE PUEDE REALIZAR LA CONTABILIZACION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
10/12/2014;6000000530;ERROR POR FALTA DE CENTRO DE BENEFICIOS;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
10/12/2014;6000000531;ERROR NO IEDNTIFICADO;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
10/12/2014;6000000532;SIN AUTORIZACION TRANSACCION OKEON;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
10/12/2014;6000000533;ERROR EN TRANSACCION F-43;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
10/12/2014;6000000534;ERROR REGISTRO DE ABONOS ENTRANTES;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
10/12/2014;6000000535;FALTA AUTORIZACION EN ZFIMODACRE;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/12/2014;6000000536;SOLO VISUALIZAR EN ESPACIOS;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/12/2014;6000000537;SIN AUTORIZACION TRANSACCION  KE51;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/12/2014;6000000538;ERROR TRANSACCION ZFIVENTASDROG;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/12/2014;6000000539;SIN AUTORIZACION TRANSACCION  KCH6N;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/12/2014;6000000540;"ERROR DE CENTRO DE BENEFICIOS ""DUMIN""";SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/12/2014;6000000541;FB50;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/12/2014;6000000542;NO PERMITE LA ANULACION DEL CHEQUE;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/12/2014;6000000543;ERROR CENTRO DE BENEFICIO;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/12/2014;6000000544;NO TENGO AUTORIZACION PARA MODIFICAR;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/12/2014;6000000545;NO ES POSIBLE CONTABILIZAR;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/12/2014;6000000546;EN LA CUENTAS DE COMPESACION NO CEBE;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/12/2014;6000000547;SIN AUTORIZACION EN ELEMENTO TRANSACCION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/12/2014;6000000548;CUENTAS DE COMPESACION NO CEBE CORRECTO;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/12/2014;6000000549;CUENTAS DE COMPESACION NO CEBE CORRECTO;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/12/2014;6000000550;ERROR CENTRO DE BENEFICIO;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/12/2014;6000000551;SIN AUTORIZACION EN ELEMENTO TRANSACCION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/12/2014;6000000552;ERROR EN EL CEBE CORRESPONDIENTE A OI;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/12/2014;6000000553;ERROR EN EL CEBE CORRESPONDIENTE A OI;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/12/2014;6000000554;EL CEBE NO CORRESPONDE A LA DIV O CECO;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/12/2014;6000000555;ERROR EN EL CEBE CORRESPONDIENTE A OI;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/12/2014;6000000556;NO SE DERIVA EL CEBE DE LA DIVISION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/12/2014;6000000557;SIN AUTORIZACION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/12/2014;6000000558;NO SE DERIVA EL CEBE NI LA DIVISION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/12/2014;6000000559;REPORTE DE BAJA SIN AUTORIZACION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/12/2014;6000000560;VALIDACION DE LOS CEBE CON LAS DIVISIONE;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/12/2014;6000000561;NO ESTA VALIDANDO EL CEBE Y DIVISION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/12/2014;6000000562;NO SE PUDO EJECUTAR EL PROGRAMA;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
12/12/2014;6000000563;EL PROGRAMA NO SE HA PODIDO EJECUTAR.;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
12/12/2014;6000000564;SIN AUTORIZACION PARA EL REPORTE;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
12/12/2014;6000000565;NO TIENE AUTORIZACION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
12/12/2014;6000000566;AL EJECUTAR  ARROJA ERROR  ZRECAUDO_CART;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
12/12/2014;6000000567;ERROR EN RECAUDO ZFI008_OPT;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
12/12/2014;6000000568;ERROR EN RECAUDO A Y C;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
12/12/2014;6000000569;ERROR EN RECAUDO;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
12/12/2014;6000000570;ERROR TRANSACCION OBSOLETA;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
12/12/2014;6000000571;ERROR SSAA NO SE GENERA NINGUNA TRANSACC;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
12/12/2014;6000000572;TRANSACCION VF03;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
13/12/2014;6000000573;ERROR EN RECAUDO PLAN PAGO DE FACTURAS;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
13/12/2014;6000000574;AL EJECUTAR LA TRANS ARROJA ERROR;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
15/12/2014;6000000575;AL EJECUTAR LA TRANS ARROJA ERROR;WEB;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
15/12/2014;6000000576;ERROR EN RECAUDO ZFI_APLIC_RECAUDOS;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
15/12/2014;6000000577;NO PERMITE EJECUTAR;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
15/12/2014;6000000578;ERROR EN TRANSACCION F-43;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
17/12/2014;6000000579;ERROR AL GENERAR PROPUESTA PARA LA TRANS;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
19/12/2014;6000000580; PROCESO NO ESTA EN LA MAQUINA DE PRUEBA;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
20/12/2014;6000000581;ERROR AL GENERAR EL REPORTE DE INVENTARI;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
20/12/2014;6000000582;ERROR AL GENERAR CONSULTA;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
20/12/2014;6000000583;FALTA DE AUTORIZACIÓN;WEB;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
27/12/2014;6000000585;WA: PEDIDOS POR CENTROS;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
20/01/2015;6000000590;CASO DE LA FACTURA 15499551;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
20/01/2015;6000000591;CALCULO Y DIVISION POR REVISAR;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
21/01/2015;6000000592;CONTABILIZACION DE DESCUENTOS EN DTOS RE;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
26/01/2015;6000000595;SIN AUTORIZACION ZCDFI_CUENTAS;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
26/01/2015;6000000596;SIN AUTORIZACION ZCDFI_DESVOL;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
26/01/2015;6000000597;SIN AUTORIZACION ZCDFI_CENTRO CE;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
26/01/2015;6000000598;ZCDFI_DESVOL;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
07/03/2015;6000000600;NO SE PERMITE CONTABILIZAR EN CAJAS MENO;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
07/03/2015;6000000601;ERROR EN TRASLADOS;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
07/03/2015;6000000602;IFRS- ERROR ZCDFI_DCTOS_ESP;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
09/03/2015;6000000605;NO PERMITE VISUALIZAR EL DETALLE DE SALD;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
09/03/2015;6000000606;ERROR CONTABILIZACION CHEQUE CONSIGNADO;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
09/03/2015;6000000607;DIVISION COTA CON CEBE DE FUNZA;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
09/03/2015;6000000608;FBCJ LIBRO DE CAJA;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
09/03/2015;6000000609;VF03 VISUALIZAR FACTURA;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
10/03/2015;6000000610;FBL1N NO DEJA CONSULTAR DOCUMENTOS;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
10/03/2015;6000000611;TRANS. FCHN NO TENGO AUTORIZACION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
10/03/2015;6000000612;AL VISUAL LOS TIPOS DE DOC NO FIGURA RU;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/03/2015;6000000613;FS10N VISUALIZAR DE SALDOS;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/03/2015;6000000614;TRANSACCIÓN FS10N SIN AUTORIZACIÓN.;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/03/2015;6000000615;"""CENTRO DE BENEFICIO"" NO COMPLETADO";SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/03/2015;6000000616;SIN AUTORIZACION TRANSACCION KS01;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
11/03/2015;6000000617;SIN AUTORIZACION TRANSACCION OKEON;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;Tambien trabajado por Miguel Escogar
12/03/2015;6000000618;ERROR TRANSACCION KE51;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
12/03/2015;6000000619;ERROR TRANSACCION KCH6N;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
12/03/2015;6000000620;ERROR AL MOMENTO DE ELEGIR DIVISION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
12/03/2015;6000000621;NO ES POSIBLE CONTABILIZAR;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
12/03/2015;6000000622;FALTA DE AUTORIZACIÓN;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
12/03/2015;6000000623;HAY DIFERENCIAS EN PARAMETRIZACION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
12/03/2015;6000000624;DIFERENCIAS EN PARAMETRIZACION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
13/03/2015;6000000625;NO REALIZA EXPLOSON DE MATERIALES;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
13/03/2015;6000000626;DOCUMENTO CONTABLE NO CREADO EN FACTURA;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
13/03/2015;6000000627;EN LA CUENTA CONTAB. PROVEEDOR NO REGIST;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
13/03/2015;6000000628;AL EJECUTAR LA TRANS EN PREASOCIADOS;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
13/03/2015;6000000629;ERROR EN FECHA Y CONDICION DE PAGO PREAS;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
13/03/2015;6000000630;NO SE PUEDEN CONSULTAR DOCUMENTOS ARCHIV;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
13/03/2015;6000000631;NO SE PUEDE CONSULTAR CUENTAS;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
13/03/2015;6000000632;NO SE PUEDE GENERAR LIBROS OFICIALES;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
14/03/2015;6000000633;PANTALLAZOS FS10N SIN AUTORIZACIÓN.;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
14/03/2015;6000000634;EL REPORTE NO SE GENERA;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
16/03/2015;6000000635;DOCUEMENTO NO EXISTE;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
16/03/2015;6000000636;NO HAY AUTORIZACION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
16/03/2015;6000000637;ERROR EN DIVISION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
16/03/2015;6000000638;ERROR EN IDENTIFICACION CENTRO BENEFICIO;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
16/03/2015;6000000639;ERROR EN IDENTIFICACION CENTRO BENEFICIO;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
16/03/2015;6000000640;NO PERMITO  ANULAR LA COMPENSACION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
16/03/2015;6000000641;FALTA DE AUTORIZACION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
16/03/2015;6000000642;NO SE HA CREADO NINGUNA LISTA;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
16/03/2015;6000000643;NO TIENE AUTORIZACIÓN PARA VISUALIZAR;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
16/03/2015;6000000644;SOPORTE TRANSACCION FS10N SIN AUTORIZACI;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
16/03/2015;6000000645;SIN ACCESO A LA CON CONSULTA;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
16/03/2015;6000000646;FALTA DE AUTORIZACION PARA CORRER TRANS;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
16/03/2015;6000000647;EXCEL PRUEBAS OK;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
16/03/2015;6000000648;EXCEL PRUEBAS OK;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
16/03/2015;6000000649;DDDD;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
17/03/2015;6000000650;NO TENGO AUTORIZACION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
17/03/2015;6000000651;CONTABILIZACION NÓMINA DE CORRECCIÓN NTI;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
17/03/2015;6000000652;VISUALIZACION DOCUMENTOS FINANCIEROS;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
17/03/2015;6000000653;NO TENEMOS AUTORIZACION COM 1000 Y 2000;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
17/03/2015;6000000654;NO TIENE AUTORIZACIÓN COMPAÑ 1000-2000;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
17/03/2015;6000000655;NO SE VE LA TRANSACCION;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
17/03/2015;6000000656;ZIMP_NOTASPROV;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
17/03/2015;6000000657;ERROR VY-ADMINISTRATIVO;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
17/03/2015;6000000658;AL EJECUTAR LA TRANSACCION GENERA ERROR;SAP;FI-BL-IS;PROYECTO NIIF;PROYECTO NIIF;;;;CERRADO;;;;
